category,part_number,description,price,currency,stock,date,fetched_at,source
module,MOD-DISP-5486,Waveshare Display Module,70.63,USD,8266,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-POWE-2671,Waveshare Power Supply Module,100.9,USD,7517,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MICR-4819,SparkFun Microcontroller Module,168.27,USD,3631,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MICR-8044,SparkFun Microcontroller Module,102.94,USD,448,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-DISP-5987,Waveshare Display Module,43.63,USD,7352,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-SENS-6909,Espressif Sensor Module,78.89,USD,7763,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-POWE-3886,Seeed Power Supply Module,48.81,USD,4345,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-WIFI-9436,STMicro WiFi Module,18.07,USD,7049,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MOTO-4513,Waveshare Motor Driver Module,88.58,USD,8211,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MOTO-4415,Adafruit Motor Driver Module,44.39,USD,3789,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-BLUE-2203,Adafruit Bluetooth Module,183.89,USD,4744,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-DISP-2153,Waveshare Display Module,21.2,USD,2046,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-WIFI-1655,Seeed WiFi Module,135.4,USD,3464,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-WIFI-7007,Seeed WiFi Module,106.18,USD,7782,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-BLUE-9747,Adafruit Bluetooth Module,125.43,USD,1215,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-SENS-3304,SparkFun Sensor Module,81.18,USD,7959,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MOTO-6242,TI Motor Driver Module,176.95,USD,2114,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-DISP-7563,Seeed Display Module,168.39,USD,1177,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-SENS-6994,Adafruit Sensor Module,128.61,USD,5186,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MOTO-6355,Waveshare Motor Driver Module,122.11,USD,2965,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-DISP-9863,Seeed Display Module,79.21,USD,7668,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MICR-5603,Seeed Microcontroller Module,160.39,USD,5102,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-BLUE-7537,Waveshare Bluetooth Module,84.87,USD,6700,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-POWE-2920,Espressif Power Supply Module,31.74,USD,5598,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-BLUE-7446,TI Bluetooth Module,131.3,USD,1317,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-WIFI-7910,Adafruit WiFi Module,84.98,USD,7064,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-DISP-5796,TI Display Module,141.69,USD,5166,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MOTO-3213,Seeed Motor Driver Module,79.23,USD,7977,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-BLUE-4740,Seeed Bluetooth Module,8.11,USD,3479,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-BLUE-3163,Espressif Bluetooth Module,180.95,USD,5907,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MICR-1657,Espressif Microcontroller Module,184.76,USD,6805,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-BLUE-8363,Adafruit Bluetooth Module,48.93,USD,7462,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-SENS-1801,STMicro Sensor Module,78.55,USD,6574,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-BLUE-5046,TI Bluetooth Module,168.62,USD,4188,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MICR-5528,Waveshare Microcontroller Module,101.55,USD,1555,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-DISP-3842,SparkFun Display Module,14.48,USD,2310,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-DISP-5130,STMicro Display Module,147.21,USD,1002,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MICR-9504,Waveshare Microcontroller Module,124.43,USD,3459,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-DISP-5705,STMicro Display Module,50.11,USD,5039,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MICR-7178,STMicro Microcontroller Module,68.75,USD,1569,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MICR-5876,Seeed Microcontroller Module,27.52,USD,2863,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-WIFI-6765,STMicro WiFi Module,84.63,USD,7981,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-POWE-6544,Waveshare Power Supply Module,68.55,USD,7035,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-SENS-2419,Waveshare Sensor Module,135.34,USD,6945,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-POWE-2320,Adafruit Power Supply Module,167.21,USD,4653,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-WIFI-6351,STMicro WiFi Module,16.32,USD,2178,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-POWE-4134,TI Power Supply Module,92.16,USD,5137,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MOTO-2621,SparkFun Motor Driver Module,57.77,USD,4857,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-WIFI-5677,STMicro WiFi Module,132.33,USD,2881,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-POWE-1416,STMicro Power Supply Module,21.88,USD,3711,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-SENS-9061,Adafruit Sensor Module,42.51,USD,1154,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-BLUE-6568,Seeed Bluetooth Module,177.73,USD,6379,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-BLUE-1285,SparkFun Bluetooth Module,182.29,USD,7679,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-BLUE-6956,Espressif Bluetooth Module,71.1,USD,2745,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-SENS-5423,Adafruit Sensor Module,173.45,USD,7839,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-DISP-7728,STMicro Display Module,66.98,USD,5041,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-WIFI-2133,Adafruit WiFi Module,164.1,USD,4843,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-POWE-2834,STMicro Power Supply Module,37.71,USD,6913,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MICR-5872,Seeed Microcontroller Module,127.66,USD,6685,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-DISP-6820,Espressif Display Module,168.61,USD,271,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-POWE-5718,Waveshare Power Supply Module,79.48,USD,3949,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
module,MOD-MOTO-2925,STMicro Motor Driver Module,151.24,USD,159,2026-02-20,2026-02-20 16:09:30,FAKE_MODULES_20260220
