category,part_number,description,price,currency,stock,date,fetched_at,source
resistor,RES20983G,NXP 10k 1206 Resistor,37.6291,USD,29911,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
diode,DIO88947D,Infineon 10uF 1206 Diode,25.5151,USD,27002,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP26083C,Murata 10uF TO-220 Capacitor,38.015,USD,38155,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED83447D,Panasonic 2N3904 TO-220 Led,18.1716,USD,31159,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS40517B,Panasonic LM358 SOIC-8 Fuse,6.5308,USD,40185,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
transistor,TRA86573C,TE Connectivity 220uF 1206 Transistor,9.0314,USD,44857,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED15522A,Texas Instruments 220uF SOIC-8 Led,52.6744,USD,6983,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED43210F,Samsung 100k 0805 Led,17.4552,USD,11816,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND39847B,Murata 10k 1206 Inductor,32.9249,USD,8737,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND45078D,Samsung 220uF 0805 Inductor,57.1463,USD,9075,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
transistor,TRA23011B,Murata 2N3904 QFN-32 Transistor,15.9776,USD,2729,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP94626E,Infineon 10k SOT-23 Capacitor,36.0386,USD,41367,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
sensor,SEN79116F,Panasonic 100nF TO-220 Sensor,44.0367,USD,8652,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP23260F,TDK LM358 0603 Capacitor,3.127,USD,7348,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES83657E,Infineon 2N3904 0805 Resistor,52.7024,USD,39591,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND87996F,TE Connectivity 220uF SOT-23 Inductor,47.7098,USD,32123,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED14048C,Infineon 10uF QFN-32 Led,54.6586,USD,43426,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY86814G,Texas Instruments 1k TO-220 Crystal,28.246,USD,6927,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND75294B,NXP 2N3904 DIP-8 Inductor,60.0959,USD,40227,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED38833B,TE Connectivity 220uF 0603 Led,26.7064,USD,40818,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
diode,DIO74727G,TE Connectivity 220uF 1206 Diode,42.2513,USD,19610,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND27329E,NXP 1k 0603 Inductor,34.8613,USD,19059,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP98023A,TDK 1N4148 0805 Capacitor,29.3954,USD,44784,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL59629E,Murata 10k SOT-23 Relay,19.9084,USD,25050,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND82162A,TE Connectivity LM358 TO-220 Inductor,29.3752,USD,39073,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND82235D,TDK 220uF QFN-32 Inductor,50.2402,USD,29741,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON24087F,Panasonic 10k DIP-8 Connector,39.6583,USD,12564,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL93164H,ON Semi 100nF SOT-23 Relay,25.8723,USD,5172,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
diode,DIO20428E,Samsung LM358 TO-220 Diode,19.0256,USD,13544,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES66266E,Murata 10uF QFN-32 Resistor,55.9388,USD,35830,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED81314A,Murata 100k 1206 Led,60.1253,USD,28749,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON85247A,Vishay 10k QFN-32 Connector,50.7583,USD,14674,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS67140D,Vishay 220uF DIP-8 Fuse,25.5205,USD,24071,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
sensor,SEN66650G,TDK 220uF TO-220 Sensor,38.8983,USD,31440,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES30963A,Murata 1k 0805 Resistor,18.8515,USD,14305,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES84937C,NXP 1k 0603 Resistor,35.436,USD,44994,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES34881H,Vishay 10uF 0603 Resistor,48.835,USD,38592,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
transistor,TRA97209D,TDK 220uF QFN-32 Transistor,11.1012,USD,27370,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY27697G,Vishay 100k SOT-23 Crystal,26.8456,USD,41011,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP57942E,STMicro 2N3904 1206 Capacitor,65.6034,USD,31582,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED52948H,ON Semi 100k 0805 Led,49.6182,USD,41955,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND87886B,Panasonic LM358 TO-220 Inductor,43.3759,USD,44655,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND96754A,Samsung 2N3904 DIP-8 Inductor,5.8525,USD,349,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
switch,SWI55110E,ON Semi 100k 1206 Switch,42.7121,USD,41248,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES14733G,Panasonic LM358 0805 Resistor,53.3901,USD,4506,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES42208G,Panasonic 10k TO-220 Resistor,61.302,USD,16832,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED86060H,Murata 1k SOT-23 Led,28.159,USD,12358,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND96691C,Infineon 100k SOIC-8 Inductor,62.7064,USD,43257,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL57407C,TDK 10k QFN-32 Relay,55.8944,USD,25927,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND88212C,ON Semi 10uF DIP-8 Inductor,23.2707,USD,39835,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL77036H,ON Semi 2N3904 DIP-8 Relay,50.5856,USD,41630,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP75270H,Murata 100k DIP-8 Capacitor,21.2032,USD,44544,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES53546F,TE Connectivity 1k 0603 Resistor,11.9439,USD,13090,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND89079E,STMicro LM358 QFN-32 Inductor,29.2081,USD,32201,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
ic,IC53860A,Texas Instruments 1N4148 QFN-32 Ic,49.5255,USD,693,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES40701E,STMicro 10uF 0805 Resistor,3.1828,USD,22208,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
diode,DIO92766D,Infineon 100nF 1206 Diode,45.8527,USD,7043,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL32292C,TDK 10uF 0603 Relay,7.4017,USD,21771,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL22944A,Texas Instruments 100nF TO-220 Relay,1.8216,USD,35509,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
switch,SWI47893G,Samsung 100k TO-220 Switch,57.3636,USD,36406,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS98572E,Texas Instruments 10k QFN-32 Fuse,16.6592,USD,2958,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS29320G,TE Connectivity 100k SOT-23 Fuse,41.7187,USD,4056,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS41417G,TDK 1k 0805 Fuse,22.6235,USD,36035,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON64753B,Samsung LM358 QFN-32 Connector,29.3476,USD,11575,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
switch,SWI74449G,Samsung 1k 1206 Switch,54.2195,USD,15335,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND39577G,Murata 100k 0603 Inductor,67.0418,USD,31988,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
ic,IC28632F,STMicro LM358 TO-220 Ic,48.4926,USD,17481,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS59459H,Samsung 10uF 1206 Fuse,33.8891,USD,11266,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND29140F,Vishay 2N3904 1206 Inductor,20.6175,USD,39880,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES42939A,NXP 220uF SOIC-8 Resistor,60.2643,USD,44204,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON16966H,Panasonic 2N3904 DIP-8 Connector,60.5776,USD,2015,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED81834B,STMicro 100k TO-220 Led,12.4593,USD,11107,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON65871D,STMicro 100k 1206 Connector,66.3807,USD,7490,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
transistor,TRA31092G,NXP 100nF DIP-8 Transistor,3.4896,USD,10663,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS96320B,Texas Instruments 220uF TO-220 Fuse,52.3692,USD,5064,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES93136E,ON Semi 10k SOIC-8 Resistor,18.4745,USD,38740,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
transistor,TRA67587E,Infineon 10uF DIP-8 Transistor,23.8248,USD,34435,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
ic,IC62155F,ON Semi 1k SOT-23 Ic,40.9436,USD,11815,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED58607B,Texas Instruments 10k SOT-23 Led,67.8028,USD,27688,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED90111G,Texas Instruments 220uF SOT-23 Led,21.247,USD,2920,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED17705D,NXP 2N3904 QFN-32 Led,23.2799,USD,17231,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON25985F,Panasonic 100k 0805 Connector,6.4631,USD,12051,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON54269F,Infineon 100k 0805 Connector,15.2115,USD,37234,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND10942D,Infineon 100k SOT-23 Inductor,38.0227,USD,8955,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON79581G,NXP 10k 0603 Connector,53.7679,USD,18115,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES76623F,Panasonic 10uF 0603 Resistor,46.0397,USD,17392,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED33014F,Infineon LM358 SOT-23 Led,29.4297,USD,5555,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED92273A,STMicro 220uF 1206 Led,3.4499,USD,42307,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY48226D,TDK 10k 0603 Crystal,26.7697,USD,627,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES55558B,Infineon 10k 0805 Resistor,43.7913,USD,18609,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY93111C,Murata 2N3904 1206 Crystal,31.4602,USD,26770,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY47913F,TE Connectivity 100k SOIC-8 Crystal,50.4245,USD,6809,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY91688A,Texas Instruments 100nF TO-220 Crystal,9.514,USD,43242,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
transistor,TRA48105B,Texas Instruments 100nF 0805 Transistor,10.1828,USD,9563,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP95251A,Texas Instruments 2N3904 0603 Capacitor,1.243,USD,38299,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
transistor,TRA54611F,ON Semi 10k 0805 Transistor,6.9515,USD,31720,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON31697F,Murata LM358 QFN-32 Connector,16.0042,USD,6869,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP52174E,ON Semi 2N3904 TO-220 Capacitor,46.5928,USD,14247,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON71125H,TDK LM358 SOT-23 Connector,24.3609,USD,19532,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS68693A,NXP 100k 0805 Fuse,1.5467,USD,35785,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES70116D,STMicro 1N4148 TO-220 Resistor,25.2791,USD,20273,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS15729B,Murata 1k 0805 Fuse,17.3736,USD,29571,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS60352F,ON Semi 10k 1206 Fuse,54.1325,USD,11174,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY57149D,NXP 10k 1206 Crystal,38.7618,USD,9309,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
transistor,TRA17101A,Murata 2N3904 SOIC-8 Transistor,11.1948,USD,8039,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
diode,DIO60411B,Vishay 100nF 1206 Diode,60.446,USD,7904,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP21641C,Samsung 1k QFN-32 Capacitor,39.6983,USD,34623,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
switch,SWI67754E,NXP 1N4148 SOT-23 Switch,30.817,USD,33005,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS20324G,Texas Instruments LM358 0603 Fuse,13.9172,USD,35952,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP15747F,Samsung 10k SOT-23 Capacitor,33.5446,USD,4602,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS60994D,Samsung 100nF 1206 Fuse,20.7373,USD,12128,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
capacitor,CAP60771G,Panasonic 2N3904 DIP-8 Capacitor,67.6917,USD,28632,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND91321C,STMicro 1N4148 SOT-23 Inductor,51.851,USD,19230,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL92997A,Panasonic 220uF SOT-23 Relay,67.7198,USD,11168,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL73581E,STMicro 1k 0805 Relay,12.5607,USD,988,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
transistor,TRA21955F,TDK 1k 0805 Transistor,16.1249,USD,27854,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY46469E,Vishay LM358 0805 Crystal,62.3451,USD,31676,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS59345C,TDK 2N3904 DIP-8 Fuse,34.9506,USD,24084,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS64042G,TDK LM358 QFN-32 Fuse,40.2277,USD,38580,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
sensor,SEN85684B,TDK 2N3904 QFN-32 Sensor,20.7337,USD,30282,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND69692A,Samsung 100nF QFN-32 Inductor,56.6826,USD,19461,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
fuse,FUS49085A,Texas Instruments 220uF 1206 Fuse,8.5523,USD,9589,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
connector,CON60685G,Vishay 10k SOIC-8 Connector,25.5782,USD,28922,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY80484B,TDK 220uF TO-220 Crystal,13.0661,USD,33999,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY13532D,Texas Instruments 1k DIP-8 Crystal,29.0192,USD,189,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED38451F,Samsung LM358 QFN-32 Led,53.7172,USD,32754,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
resistor,RES59058C,NXP 10k SOIC-8 Resistor,40.8555,USD,11039,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
led,LED51286D,Vishay 2N3904 TO-220 Led,32.9542,USD,36995,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
crystal,CRY72443G,Samsung 1N4148 0805 Crystal,8.6064,USD,4348,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND40748D,Panasonic 100k 0603 Inductor,13.6313,USD,41694,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
ic,IC43627G,Infineon 1k TO-220 Ic,53.7745,USD,17808,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL52421E,TE Connectivity 100k DIP-8 Relay,49.9371,USD,19093,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
inductor,IND62282E,ON Semi 10uF 0805 Inductor,8.9056,USD,5080,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
relay,REL53662E,Texas Instruments 1k QFN-32 Relay,13.8367,USD,23544,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
switch,SWI59853H,Texas Instruments 10k 0603 Switch,65.4945,USD,42460,2026-02-20,2026-02-20 16:09:30,FAKE_ELECTRONICS_20260220
