metal,price_usd_per_unit,unit,date,fetched_at,source
Copper,5.818,lb,2026-02-20,2026-02-20 16:09:30,MARKET_ANCHORED_20260220
Aluminum,1.377,lb,2026-02-20,2026-02-20 16:09:30,MARKET_ANCHORED_20260220
Zinc,1.507,lb,2026-02-20,2026-02-20 16:09:30,MARKET_ANCHORED_20260220
Nickel,8.008,lb,2026-02-20,2026-02-20 16:09:30,MARKET_ANCHORED_20260220
Gold,5064.5,oz,2026-02-20,2026-02-20 16:09:30,MARKET_ANCHORED_20260220
Silver,80.6,oz,2026-02-20,2026-02-20 16:09:30,MARKET_ANCHORED_20260220
Palladium,1730.8,oz,2026-02-20,2026-02-20 16:09:30,MARKET_ANCHORED_20260220
Platinum,2067.2,oz,2026-02-20,2026-02-20 16:09:30,MARKET_ANCHORED_20260220
Lithium,20.8,kg,2026-02-20,2026-02-20 16:09:30,MARKET_ANCHORED_20260220
Cobalt,25.449,lb,2026-02-20,2026-02-20 16:09:30,MARKET_ANCHORED_20260220
Gallium,649.6,kg,2026-02-20,2026-02-20 16:09:30,MARKET_ANCHORED_20260220
Germanium,942.4,kg,2026-02-20,2026-02-20 16:09:30,MARKET_ANCHORED_20260220
